userId,mean_latency_minutes,valid_comment_count,filtered_comment_count,latency_variance_score,mean_text_length,std_text_length,unique_comment_ratio,max_duplicate_count,total_duplicates,unique_channel_count
UC--FsVX4q4Ek_2DD89J5cOg,8.248655388114345,-0.4,0.0,-0.29994686425171585,0.7697180019197111,0.039840651770433264,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-1YF8d0KYSg3ksrpQJi3Kw,19.80259470570964,-0.4,0.0,0.3551786053276063,-0.32620335467045775,-0.43470859750369883,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-3Nj6oYW1QqHjBmm3iL-oQ,-0.23061684917547123,3.6,0.0,0.7537231626302091,0.24506578248481983,0.3603922468347774,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-3PP_G2wsXPI0In8hr1z4A,0.04811624668455201,0.2,0.0,0.13640055083462155,-0.3562924561081615,-0.46884969386507014,0.0,-0.22171277343426476,-0.24787180845699888,0.25
UC-3rwZnz8xmpX4wByAA5CQw,-0.26053025580850403,-0.2,0.0,0.4575316345706717,-0.4523515592895633,-0.5204764932547425,0.0,0.6913574657089212,0.7154674764909068,0.0
UC-4JFXwbKLjHEpRYu22yROQ,-0.292535039553629,0.0,0.0,1.2597949418378394,-0.4141095423717573,-0.40546170567145406,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-7-qCkA4GVQznRkXeop4Lw,-0.3360063853185683,3.8,0.0,4.1167064643681766,-0.29516887518108176,-0.3174563233179843,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-7CsrBveGCDiDQtCSi75NA,-0.061161979463322275,0.2,0.0,2.4765084541649003,0.5087692102258223,0.7087380993419501,0.0,-0.22171277343426476,-0.24787180845699888,0.0
UC-7UGGUfegIlYvAMQEEZoWA,0.29111151064345264,-0.4,0.0,-0.1599832959237827,-0.3389170595032903,-0.45260350344990624,0.0,-0.22171277343426476,-0.24787180845699888,0.25
UC-8JKGrT19vvhAvsSxAYjSQ,3.0402828960879447,0.0,0.0,-0.28700487771033856,-0.10353189574113272,0.3517766584792256,0.0,-0.22171277343426476,-0.24787180845699888,0.25
UC-8SI97g7bH6iCOyRhC6Emg,0.36863760910317295,-0.2,0.0,-0.21700879548959437,0.3034075613288182,0.2739601029868309,0.0,-0.22171277343426476,-0.24787180845699888,0.25
